DOMAIN	TOTAL	Acas	Afum	Agos	Aloc	Amac	Amoe	Bden	Ccin	Cint	Cmer	CneoA	Cowc	Crei	Crev	Ddis	Dmel	Ebie	Ecun	Eint	Gpro	Hmag	Hpol	Mbre	Mcir	Mver	Ncer	Ncra	NparERTm1	Pbla	PirE2	Pult	Rall	Rory	Scer	Spom	Spun	Sros	Sros50818	Sscl	Tgon	Tpse	Ttra	Umay	Vcul	Wseb	Ylip
WD40	9651	434	255	171	21	105	338	366	326	379	141	221	64	404	86	412	329	29	54	54	304	353	220	299	70	415	48	211	41	427	31	307	286	428	171	240	105	75	71	300	141	194	32	232	28	219	214
Pkinase	7276	356	126	98	26	35	351	203	239	281	68	104	70	719	40	284	241	36	27	28	289	428	133	406	42	221	28	119	28	237	22	255	144	331	121	119	44	44	56	134	184	175	64	107	34	89	90
Ank_2	7126	443	200	25	0	4	98	99	433	268	27	26	102	492	6	248	247	0	2	2	352	1465	102	335	11	120	1	121	3	60	171	707	221	131	31	20	32	8	46	123	54	96	113	24	2	22	33
Pkinase_Tyr	6594	342	105	94	21	27	320	165	151	276	62	93	68	692	33	272	227	36	27	26	265	410	115	400	38	196	27	104	25	222	20	225	116	283	118	116	37	42	53	101	137	155	57	97	30	83	85
Ank_4	4438	316	152	22	0	4	77	59	279	222	20	19	73	289	5	176	213	0	2	3	107	746	55	234	5	80	1	60	1	46	164	404	101	97	25	20	24	5	29	75	38	51	74	22	2	12	29
MFS_1	4237	67	394	55	6	12	33	40	158	197	22	215	16	71	28	86	227	7	5	7	252	206	22	51	41	173	5	200	4	143	5	185	28	195	106	79	11	49	9	267	47	89	9	130	6	97	182
Ank	3876	328	140	20	0	1	71	62	177	221	19	18	71	292	3	145	226	0	1	2	137	501	49	284	7	79	1	64	1	48	142	278	31	93	19	17	30	6	28	70	30	44	60	22	1	11	26
Ank_5	3773	304	151	21	0	3	69	64	289	213	23	17	77	279	3	151	205	0	0	1	96	434	47	282	8	76	1	54	1	36	129	256	35	77	15	19	23	6	39	57	35	51	70	18	1	11	26
RRM_1	3700	115	95	73	14	25	125	102	95	158	32	85	26	142	35	137	194	23	28	28	114	256	62	107	20	131	20	96	20	147	16	105	77	161	75	105	28	21	28	86	113	73	17	92	23	90	85
Mito_carr	3463	144	111	77	0	18	118	86	102	78	92	100	39	129	30	97	137	0	0	0	141	96	76	96	34	178	0	106	0	150	0	137	81	157	100	68	27	34	5	103	50	148	12	108	0	87	111
RRM_6	3363	104	86	64	11	24	111	86	86	146	31	74	24	139	34	122	185	17	26	26	101	229	50	99	22	127	18	98	15	134	12	95	64	144	68	92	27	17	28	83	97	68	17	83	17	83	79
TPR_11	3207	125	62	41	2	22	93	104	74	151	45	56	22	168	7	112	130	3	8	8	112	378	78	165	14	86	7	59	10	74	27	196	64	95	46	45	32	17	48	66	61	116	29	53	8	41	47
LRR_8	3180	247	27	13	281	15	58	51	19	286	13	17	88	123	14	93	448	10	21	22	79	151	60	185	0	66	10	23	9	70	52	150	54	59	11	18	19	11	43	24	25	95	51	25	8	19	17
LRR_4	3135	255	27	19	309	21	71	68	26	238	15	22	67	116	10	106	268	8	21	15	114	149	67	116	0	181	7	30	13	61	53	165	77	61	17	22	23	13	16	23	32	88	43	27	9	19	27
Helicase_C	2668	83	81	59	10	10	119	69	89	75	54	71	17	100	19	83	75	27	28	28	76	92	57	114	13	98	22	76	30	76	5	81	67	83	79	69	22	21	22	76	79	93	10	64	27	56	63
TPR_12	2661	105	41	13	0	10	32	32	25	72	19	15	14	113	0	56	75	0	3	3	75	1174	15	136	3	30	1	32	5	32	10	95	22	46	13	15	13	6	36	44	18	140	14	20	2	17	19
ABC_tran	2441	37	90	31	8	16	87	77	71	50	39	55	14	101	24	109	88	28	15	16	93	54	52	60	22	166	15	57	7	84	27	236	45	73	53	32	15	14	12	70	29	82	13	63	14	42	55
RRM_5	2315	72	51	46	8	13	74	66	53	103	23	54	17	79	17	104	124	19	13	15	72	159	39	62	14	90	13	65	7	100	9	69	58	102	48	66	21	10	19	57	70	45	7	52	10	52	48
DEAD	2150	67	55	44	9	8	85	54	68	61	42	51	18	75	15	60	62	36	25	25	55	83	45	94	11	80	24	56	25	59	4	71	54	68	69	53	15	17	19	56	69	80	7	55	26	47	48
AAA	2075	57	54	46	12	17	88	63	62	55	54	42	10	88	27	57	57	26	24	24	77	60	47	56	12	65	24	64	23	71	10	75	55	73	46	49	8	14	10	62	59	85	12	40	24	45	46
Ras	1906	205	34	30	10	5	61	42	50	92	20	36	12	34	8	163	82	15	13	12	36	148	27	61	10	60	13	42	12	67	5	60	35	81	36	26	7	7	13	36	24	35	23	37	13	33	35
Miro	1884	170	35	32	12	5	62	44	46	92	22	37	13	38	9	159	87	16	14	13	42	126	27	60	10	63	12	40	12	71	4	62	34	77	37	26	10	7	11	36	27	42	21	38	15	34	34
adh_short	1784	62	141	17	1	4	42	20	61	81	32	41	9	61	3	110	63	5	3	3	142	51	21	49	10	73	4	80	3	40	0	93	15	36	25	27	5	13	7	105	22	55	8	51	2	42	46
zf-C3HC4_2	1743	68	41	23	10	12	29	39	47	72	31	30	24	95	14	91	78	9	13	13	109	137	11	58	9	65	16	37	14	57	8	88	23	43	21	31	13	4	8	33	44	52	16	35	17	22	33
Arf	1732	127	31	32	11	4	57	42	41	82	20	34	13	34	9	140	83	14	13	12	38	100	28	58	14	69	12	35	13	77	3	55	34	76	35	27	5	11	14	30	26	34	14	38	15	35	37
MMR_HSR1	1728	59	36	40	12	5	61	37	68	63	37	34	10	71	12	74	56	22	18	19	41	75	22	50	12	90	18	44	16	71	4	56	45	64	44	35	13	12	10	30	40	55	16	37	19	37	38
zf-RING_2	1649	66	37	24	13	11	29	42	43	55	30	30	20	83	16	75	68	9	13	15	108	97	10	53	9	62	16	39	15	58	9	90	27	41	22	31	12	4	10	37	46	52	14	34	17	20	37
EF_hand_5	1632	95	17	15	3	10	43	31	20	118	9	17	10	129	2	74	118	3	4	4	34	141	26	88	5	50	3	24	1	37	4	155	27	37	13	14	13	4	22	17	55	61	25	17	3	20	14
Sugar_tr	1604	23	165	24	3	3	5	11	52	77	8	94	4	23	9	20	100	1	4	4	70	60	8	18	22	43	4	81	0	57	2	91	9	82	50	41	3	20	3	117	11	27	1	50	4	35	65
zf-H2C2_2	1602	3	37	17	1	6	14	25	24	281	1	12	1	0	6	4	409	1	4	4	58	202	6	15	14	55	2	26	3	84	5	32	14	92	20	9	3	1	12	26	10	0	0	21	2	19	21
RVT_1	1498	6	23	2	1	0	9	1	0	3	23	0	0	193	0	122	0	0	1	1	4	405	1	35	3	0	17	2	1	11	5	10	7	491	5	13	1	0	0	74	1	1	0	4	0	1	21
DDE_3	1481	5	21	0	0	1	4	0	3	2	4	1	0	1	0	2	1	0	0	0	9	495	0	14	0	1	8	0	0	121	0	31	0	692	0	0	0	0	5	60	0	0	0	0	0	0	0
