GO_ID	GO_Term	Count	Percentage	Samples
GO:0007059	chromosome segregation	22	0.33	Anid
GO:0007059	chromosome segregation	17	0.23	Calb
GO:0007059	chromosome segregation	7	0.20	Cneo
GO:0007059	chromosome segregation	4	0.43	Ecun
GO:0007059	chromosome segregation	21	0.39	Ncra
GO:0007059	chromosome segregation	3	0.16	Rozella
GO:0007059	chromosome segregation	299	2.01	Spom
GO:0007059	chromosome segregation	132	1.05	Scer
GO:0007114	cell budding	2	0.03	Anid
GO:0007114	cell budding	8	0.11	Calb
GO:0007114	cell budding	0	0.00	Cneo
GO:0007114	cell budding	0	0.00	Ecun
GO:0007114	cell budding	3	0.06	Ncra
GO:0007114	cell budding	0	0.00	Rozella
GO:0007114	cell budding	0	0.00	Spom
GO:0007114	cell budding	65	0.52	Scer
GO:0007124	pseudohyphal growth	0	0.00	Anid
GO:0007124	pseudohyphal growth	34	0.46	Calb
GO:0007124	pseudohyphal growth	0	0.00	Cneo
GO:0007124	pseudohyphal growth	0	0.00	Ecun
GO:0007124	pseudohyphal growth	5	0.09	Ncra
GO:0007124	pseudohyphal growth	0	0.00	Rozella
GO:0007124	pseudohyphal growth	0	0.00	Spom
GO:0007124	pseudohyphal growth	68	0.54	Scer
GO:0008033	tRNA processing	54	0.81	Anid
GO:0008033	tRNA processing	68	0.91	Calb
GO:0008033	tRNA processing	42	1.22	Cneo
GO:0008033	tRNA processing	25	2.69	Ecun
GO:0008033	tRNA processing	61	1.13	Ncra
GO:0008033	tRNA processing	27	1.42	Rozella
GO:0008033	tRNA processing	107	0.72	Spom
GO:0008033	tRNA processing	103	0.82	Scer
GO:0008213	protein alkylation	13	0.20	Anid
GO:0008213	protein alkylation	15	0.20	Calb
GO:0008213	protein alkylation	15	0.44	Cneo
GO:0008213	protein alkylation	2	0.22	Ecun
GO:0008213	protein alkylation	13	0.24	Ncra
GO:0008213	protein alkylation	6	0.32	Rozella
GO:0008213	protein alkylation	74	0.50	Spom
GO:0008213	protein alkylation	44	0.35	Scer
GO:0008380	RNA splicing	43	0.65	Anid
GO:0008380	RNA splicing	51	0.68	Calb
GO:0008380	RNA splicing	36	1.05	Cneo
GO:0008380	RNA splicing	6	0.65	Ecun
GO:0008380	RNA splicing	44	0.82	Ncra
GO:0008380	RNA splicing	9	0.47	Rozella
GO:0008380	RNA splicing	162	1.09	Spom
GO:0008380	RNA splicing	139	1.10	Scer
GO:0008643	carbohydrate transport	36	0.54	Anid
GO:0008643	carbohydrate transport	37	0.50	Calb
GO:0008643	carbohydrate transport	18	0.52	Cneo
GO:0008643	carbohydrate transport	2	0.22	Ecun
GO:0008643	carbohydrate transport	7	0.13	Ncra
GO:0008643	carbohydrate transport	1	0.05	Rozella
GO:0008643	carbohydrate transport	30	0.20	Spom
GO:0008643	carbohydrate transport	33	0.26	Scer
GO:0009311	oligosaccharide metabolic process	47	0.71	Anid
GO:0009311	oligosaccharide metabolic process	26	0.35	Calb
GO:0009311	oligosaccharide metabolic process	8	0.23	Cneo
GO:0009311	oligosaccharide metabolic process	3	0.32	Ecun
GO:0009311	oligosaccharide metabolic process	20	0.37	Ncra
GO:0009311	oligosaccharide metabolic process	7	0.37	Rozella
GO:0009311	oligosaccharide metabolic process	38	0.26	Spom
GO:0009311	oligosaccharide metabolic process	37	0.29	Scer
GO:0009408	response to heat	4	0.06	Anid
GO:0009408	response to heat	77	1.03	Calb
GO:0009408	response to heat	3	0.09	Cneo
GO:0009408	response to heat	0	0.00	Ecun
GO:0009408	response to heat	8	0.15	Ncra
GO:0009408	response to heat	1	0.05	Rozella
GO:0009408	response to heat	39	0.26	Spom
GO:0009408	response to heat	49	0.39	Scer
GO:0009451	RNA modification	52	0.78	Anid
GO:0009451	RNA modification	61	0.82	Calb
GO:0009451	RNA modification	32	0.93	Cneo
GO:0009451	RNA modification	23	2.48	Ecun
GO:0009451	RNA modification	47	0.87	Ncra
GO:0009451	RNA modification	40	2.11	Rozella
GO:0009451	RNA modification	105	0.71	Spom
GO:0009451	RNA modification	158	1.26	Scer
GO:0010324	membrane invagination	4	0.06	Anid
GO:0010324	membrane invagination	0	0.00	Calb
GO:0010324	membrane invagination	0	0.00	Cneo
GO:0010324	membrane invagination	0	0.00	Ecun
GO:0010324	membrane invagination	5	0.09	Ncra
GO:0010324	membrane invagination	0	0.00	Rozella
GO:0010324	membrane invagination	2	0.01	Spom
GO:0010324	membrane invagination	43	0.34	Scer
GO:0015931	nucleobase-containing compound transport	19	0.29	Anid
GO:0015931	nucleobase-containing compound transport	29	0.39	Calb
GO:0015931	nucleobase-containing compound transport	13	0.38	Cneo
GO:0015931	nucleobase-containing compound transport	2	0.22	Ecun
GO:0015931	nucleobase-containing compound transport	21	0.39	Ncra
GO:0015931	nucleobase-containing compound transport	4	0.21	Rozella
GO:0015931	nucleobase-containing compound transport	90	0.61	Spom
GO:0015931	nucleobase-containing compound transport	119	0.95	Scer
GO:0016050	vesicle organization	5	0.08	Anid
GO:0016050	vesicle organization	5	0.07	Calb
GO:0016050	vesicle organization	3	0.09	Cneo
GO:0016050	vesicle organization	0	0.00	Ecun
GO:0016050	vesicle organization	7	0.13	Ncra
GO:0016050	vesicle organization	2	0.11	Rozella
GO:0016050	vesicle organization	34	0.23	Spom
GO:0016050	vesicle organization	77	0.61	Scer
GO:0016197	endosomal transport	4	0.06	Anid
GO:0016197	endosomal transport	6	0.08	Calb
GO:0016197	endosomal transport	1	0.03	Cneo
GO:0016197	endosomal transport	0	0.00	Ecun
GO:0016197	endosomal transport	4	0.07	Ncra
GO:0016197	endosomal transport	0	0.00	Rozella
GO:0016197	endosomal transport	92	0.62	Spom
GO:0016197	endosomal transport	79	0.63	Scer
GO:0016570	histone modification	27	0.41	Anid
GO:0016570	histone modification	45	0.60	Calb
GO:0016570	histone modification	21	0.61	Cneo
GO:0016570	histone modification	6	0.65	Ecun
GO:0016570	histone modification	26	0.48	Ncra
GO:0016570	histone modification	4	0.21	Rozella
GO:0016570	histone modification	173	1.17	Spom
GO:0016570	histone modification	104	0.83	Scer
GO:0018193	peptidyl-amino acid modification	74	1.12	Anid
GO:0018193	peptidyl-amino acid modification	68	0.91	Calb
GO:0018193	peptidyl-amino acid modification	58	1.68	Cneo
GO:0018193	peptidyl-amino acid modification	15	1.62	Ecun
GO:0018193	peptidyl-amino acid modification	68	1.26	Ncra
GO:0018193	peptidyl-amino acid modification	8	0.42	Rozella
GO:0018193	peptidyl-amino acid modification	99	0.67	Spom
GO:0018193	peptidyl-amino acid modification	87	0.69	Scer
GO:0023052	signaling	260	3.92	Anid
GO:0023052	signaling	325	4.35	Calb
GO:0023052	signaling	210	6.10	Cneo
GO:0023052	signaling	50	5.39	Ecun
GO:0023052	signaling	259	4.80	Ncra
GO:0023052	signaling	259	13.65	Rozella
GO:0023052	signaling	510	3.44	Spom
GO:0023052	signaling	228	1.81	Scer
GO:0031399	regulation of protein modification process	24	0.36	Anid
GO:0031399	regulation of protein modification process	15	0.20	Calb
GO:0031399	regulation of protein modification process	3	0.09	Cneo
GO:0031399	regulation of protein modification process	2	0.22	Ecun
GO:0031399	regulation of protein modification process	15	0.28	Ncra
GO:0031399	regulation of protein modification process	3	0.16	Rozella
GO:0031399	regulation of protein modification process	111	0.75	Spom
GO:0031399	regulation of protein modification process	75	0.60	Scer
GO:0032196	transposition	8	0.12	Anid
GO:0032196	transposition	0	0.00	Calb
GO:0032196	transposition	0	0.00	Cneo
GO:0032196	transposition	0	0.00	Ecun
GO:0032196	transposition	0	0.00	Ncra
GO:0032196	transposition	0	0.00	Rozella
GO:0032196	transposition	1	0.01	Spom
GO:0032196	transposition	20	0.16	Scer
GO:0032200	telomere organization	3	0.05	Anid
GO:0032200	telomere organization	26	0.35	Calb
GO:0032200	telomere organization	2	0.06	Cneo
GO:0032200	telomere organization	1	0.11	Ecun
GO:0032200	telomere organization	4	0.07	Ncra
GO:0032200	telomere organization	0	0.00	Rozella
GO:0032200	telomere organization	75	0.51	Spom
GO:0032200	telomere organization	67	0.53	Scer
GO:0032543	mitochondrial translation	5	0.08	Anid
GO:0032543	mitochondrial translation	1	0.01	Calb
GO:0032543	mitochondrial translation	1	0.03	Cneo
GO:0032543	mitochondrial translation	0	0.00	Ecun
GO:0032543	mitochondrial translation	5	0.09	Ncra
GO:0032543	mitochondrial translation	0	0.00	Rozella
GO:0032543	mitochondrial translation	151	1.02	Spom
GO:0032543	mitochondrial translation	137	1.09	Scer
GO:0033043	regulation of organelle organization	24	0.36	Anid
GO:0033043	regulation of organelle organization	16	0.21	Calb
GO:0033043	regulation of organelle organization	9	0.26	Cneo
GO:0033043	regulation of organelle organization	0	0.00	Ecun
GO:0033043	regulation of organelle organization	23	0.43	Ncra
GO:0033043	regulation of organelle organization	5	0.26	Rozella
GO:0033043	regulation of organelle organization	223	1.50	Spom
GO:0033043	regulation of organelle organization	151	1.20	Scer
GO:0042221	response to chemical stimulus	50	0.75	Anid
GO:0042221	response to chemical stimulus	647	8.66	Calb
GO:0042221	response to chemical stimulus	7	0.20	Cneo
GO:0042221	response to chemical stimulus	1	0.11	Ecun
GO:0042221	response to chemical stimulus	46	0.85	Ncra
GO:0042221	response to chemical stimulus	4	0.21	Rozella
GO:0042221	response to chemical stimulus	612	4.12	Spom
GO:0042221	response to chemical stimulus	361	2.87	Scer
GO:0042255	ribosome assembly	3	0.05	Anid
GO:0042255	ribosome assembly	2	0.03	Calb
GO:0042255	ribosome assembly	3	0.09	Cneo
GO:0042255	ribosome assembly	2	0.22	Ecun
GO:0042255	ribosome assembly	4	0.07	Ncra
GO:0042255	ribosome assembly	2	0.11	Rozella
GO:0042255	ribosome assembly	22	0.15	Spom
GO:0042255	ribosome assembly	56	0.44	Scer
