GO_ID	GO_Term	Count	Percentage	Samples
GO:0005576	extracellular region	232	3.32	Anid
GO:0005576	extracellular region	166	2.28	Calb
GO:0005576	extracellular region	6	0.15	Cneo
GO:0005576	extracellular region	4	0.29	Ecun
GO:0005576	extracellular region	54	0.78	Ncra
GO:0005576	extracellular region	3	0.23	Rozella
GO:0005576	extracellular region	59	0.32	Spom
GO:0005576	extracellular region	27	0.21	Scer
GO:0005618	cell wall	21	0.30	Anid
GO:0005618	cell wall	290	3.99	Calb
GO:0005618	cell wall	1	0.02	Cneo
GO:0005618	cell wall	7	0.50	Ecun
GO:0005618	cell wall	19	0.28	Ncra
GO:0005618	cell wall	0	0.00	Rozella
GO:0005618	cell wall	69	0.38	Spom
GO:0005618	cell wall	95	0.75	Scer
GO:0005634	nucleus	1455	20.84	Anid
GO:0005634	nucleus	1169	16.07	Calb
GO:0005634	nucleus	782	19.04	Cneo
GO:0005634	nucleus	338	24.26	Ecun
GO:0005634	nucleus	1116	16.18	Ncra
GO:0005634	nucleus	205	15.68	Rozella
GO:0005634	nucleus	4420	24.09	Spom
GO:0005634	nucleus	1999	15.80	Scer
GO:0005694	chromosome	140	2.01	Anid
GO:0005694	chromosome	189	2.60	Calb
GO:0005694	chromosome	92	2.24	Cneo
GO:0005694	chromosome	49	3.52	Ecun
GO:0005694	chromosome	150	2.17	Ncra
GO:0005694	chromosome	36	2.75	Rozella
GO:0005694	chromosome	776	4.23	Spom
GO:0005694	chromosome	353	2.79	Scer
GO:0005730	nucleolus	70	1.00	Anid
GO:0005730	nucleolus	65	0.89	Calb
GO:0005730	nucleolus	45	1.10	Cneo
GO:0005730	nucleolus	15	1.08	Ecun
GO:0005730	nucleolus	70	1.01	Ncra
GO:0005730	nucleolus	8	0.61	Rozella
GO:0005730	nucleolus	446	2.43	Spom
GO:0005730	nucleolus	321	2.54	Scer
GO:0005737	cytoplasm	1183	16.94	Anid
GO:0005737	cytoplasm	1242	17.08	Calb
GO:0005737	cytoplasm	763	18.58	Cneo
GO:0005737	cytoplasm	376	26.99	Ecun
GO:0005737	cytoplasm	1404	20.35	Ncra
GO:0005737	cytoplasm	254	19.43	Rozella
GO:0005737	cytoplasm	5219	28.45	Spom
GO:0005737	cytoplasm	3847	30.42	Scer
GO:0005739	mitochondrion	362	5.18	Anid
GO:0005739	mitochondrion	403	5.54	Calb
GO:0005739	mitochondrion	197	4.80	Cneo
GO:0005739	mitochondrion	7	0.50	Ecun
GO:0005739	mitochondrion	663	9.61	Ncra
GO:0005739	mitochondrion	38	2.91	Rozella
GO:0005739	mitochondrion	1138	6.20	Spom
GO:0005739	mitochondrion	1142	9.03	Scer
GO:0005740	mitochondrial envelope	129	1.85	Anid
GO:0005740	mitochondrial envelope	171	2.35	Calb
GO:0005740	mitochondrial envelope	96	2.34	Cneo
GO:0005740	mitochondrial envelope	2	0.14	Ecun
GO:0005740	mitochondrial envelope	279	4.04	Ncra
GO:0005740	mitochondrial envelope	26	1.99	Rozella
GO:0005740	mitochondrial envelope	250	1.36	Spom
GO:0005740	mitochondrial envelope	352	2.78	Scer
GO:0005773	vacuole	72	1.03	Anid
GO:0005773	vacuole	58	0.80	Calb
GO:0005773	vacuole	23	0.56	Cneo
GO:0005773	vacuole	3	0.22	Ecun
GO:0005773	vacuole	83	1.20	Ncra
GO:0005773	vacuole	3	0.23	Rozella
GO:0005773	vacuole	185	1.01	Spom
GO:0005773	vacuole	232	1.83	Scer
GO:0005777	peroxisome	36	0.52	Anid
GO:0005777	peroxisome	48	0.66	Calb
GO:0005777	peroxisome	13	0.32	Cneo
GO:0005777	peroxisome	2	0.14	Ecun
GO:0005777	peroxisome	33	0.48	Ncra
GO:0005777	peroxisome	13	0.99	Rozella
GO:0005777	peroxisome	29	0.16	Spom
GO:0005777	peroxisome	69	0.55	Scer
GO:0005783	endoplasmic reticulum	159	2.28	Anid
GO:0005783	endoplasmic reticulum	193	2.65	Calb
GO:0005783	endoplasmic reticulum	99	2.41	Cneo
GO:0005783	endoplasmic reticulum	27	1.94	Ecun
GO:0005783	endoplasmic reticulum	181	2.62	Ncra
GO:0005783	endoplasmic reticulum	30	2.30	Rozella
GO:0005783	endoplasmic reticulum	817	4.45	Spom
GO:0005783	endoplasmic reticulum	392	3.10	Scer
GO:0005794	Golgi apparatus	60	0.86	Anid
GO:0005794	Golgi apparatus	93	1.28	Calb
GO:0005794	Golgi apparatus	52	1.27	Cneo
GO:0005794	Golgi apparatus	27	1.94	Ecun
GO:0005794	Golgi apparatus	76	1.10	Ncra
GO:0005794	Golgi apparatus	13	0.99	Rozella
GO:0005794	Golgi apparatus	412	2.25	Spom
GO:0005794	Golgi apparatus	168	1.33	Scer
GO:0005815	microtubule organizing center	11	0.16	Anid
GO:0005815	microtubule organizing center	5	0.07	Calb
GO:0005815	microtubule organizing center	6	0.15	Cneo
GO:0005815	microtubule organizing center	4	0.29	Ecun
