GO_ID	GO_Term	Count	Percentage	Samples
GO:0000988	protein binding transcription factor activity	25	0.21	Anid
GO:0000988	protein binding transcription factor activity	30	0.35	Calb
GO:0000988	protein binding transcription factor activity	10	0.14	Cneo
GO:0000988	protein binding transcription factor activity	2	0.09	Ecun
GO:0000988	protein binding transcription factor activity	25	0.29	Ncra
GO:0000988	protein binding transcription factor activity	9	0.24	Rozella
GO:0000988	protein binding transcription factor activity	90	1.26	Spom
GO:0000988	protein binding transcription factor activity	132	2.31	Scer
GO:0001071	nucleic acid binding transcription factor activity	404	3.46	Anid
GO:0001071	nucleic acid binding transcription factor activity	306	3.53	Calb
GO:0001071	nucleic acid binding transcription factor activity	137	1.99	Cneo
GO:0001071	nucleic acid binding transcription factor activity	25	1.16	Ecun
GO:0001071	nucleic acid binding transcription factor activity	160	1.87	Ncra
GO:0001071	nucleic acid binding transcription factor activity	37	1.00	Rozella
GO:0001071	nucleic acid binding transcription factor activity	203	2.84	Spom
GO:0001071	nucleic acid binding transcription factor activity	160	2.80	Scer
GO:0003677	DNA binding	839	7.18	Anid
GO:0003677	DNA binding	547	6.31	Calb
GO:0003677	DNA binding	404	5.86	Cneo
GO:0003677	DNA binding	201	9.33	Ecun
GO:0003677	DNA binding	591	6.90	Ncra
GO:0003677	DNA binding	241	6.49	Rozella
GO:0003677	DNA binding	516	7.23	Spom
GO:0003677	DNA binding	377	6.59	Scer
GO:0003723	RNA binding	203	1.74	Anid
GO:0003723	RNA binding	234	2.70	Calb
GO:0003723	RNA binding	173	2.51	Cneo
GO:0003723	RNA binding	82	3.81	Ecun
GO:0003723	RNA binding	189	2.21	Ncra
GO:0003723	RNA binding	108	2.91	Rozella
GO:0003723	RNA binding	341	4.78	Spom
GO:0003723	RNA binding	668	11.68	Scer
GO:0003729	mRNA binding	11	0.09	Anid
GO:0003729	mRNA binding	1	0.01	Calb
GO:0003729	mRNA binding	1	0.01	Cneo
GO:0003729	mRNA binding	0	0.00	Ecun
GO:0003729	mRNA binding	9	0.11	Ncra
GO:0003729	mRNA binding	2	0.05	Rozella
GO:0003729	mRNA binding	44	0.62	Spom
GO:0003729	mRNA binding	69	1.21	Scer
GO:0003735	structural constituent of ribosome	117	1.00	Anid
GO:0003735	structural constituent of ribosome	102	1.18	Calb
GO:0003735	structural constituent of ribosome	114	1.65	Cneo
GO:0003735	structural constituent of ribosome	66	3.06	Ecun
GO:0003735	structural constituent of ribosome	126	1.47	Ncra
GO:0003735	structural constituent of ribosome	98	2.64	Rozella
GO:0003735	structural constituent of ribosome	257	3.60	Spom
GO:0003735	structural constituent of ribosome	224	3.92	Scer
GO:0003924	GTPase activity	57	0.49	Anid
GO:0003924	GTPase activity	55	0.63	Calb
GO:0003924	GTPase activity	32	0.46	Cneo
GO:0003924	GTPase activity	14	0.65	Ecun
GO:0003924	GTPase activity	57	0.67	Ncra
GO:0003924	GTPase activity	58	1.56	Rozella
GO:0003924	GTPase activity	60	0.84	Spom
GO:0003924	GTPase activity	58	1.01	Scer
GO:0004386	helicase activity	213	1.82	Anid
GO:0004386	helicase activity	182	2.10	Calb
GO:0004386	helicase activity	198	2.87	Cneo
GO:0004386	helicase activity	93	4.32	Ecun
GO:0004386	helicase activity	201	2.35	Ncra
GO:0004386	helicase activity	135	3.64	Rozella
GO:0004386	helicase activity	104	1.46	Spom
GO:0004386	helicase activity	85	1.49	Scer
GO:0004518	nuclease activity	138	1.18	Anid
GO:0004518	nuclease activity	133	1.54	Calb
GO:0004518	nuclease activity	85	1.23	Cneo
GO:0004518	nuclease activity	43	2.00	Ecun
GO:0004518	nuclease activity	125	1.46	Ncra
GO:0004518	nuclease activity	53	1.43	Rozella
GO:0004518	nuclease activity	137	1.92	Spom
GO:0004518	nuclease activity	90	1.57	Scer
GO:0004871	signal transducer activity	82	0.70	Anid
GO:0004871	signal transducer activity	55	0.63	Calb
GO:0004871	signal transducer activity	52	0.75	Cneo
GO:0004871	signal transducer activity	2	0.09	Ecun
GO:0004871	signal transducer activity	73	0.85	Ncra
GO:0004871	signal transducer activity	50	1.35	Rozella
GO:0004871	signal transducer activity	46	0.64	Spom
GO:0004871	signal transducer activity	38	0.66	Scer
GO:0005198	structural molecule activity	29	0.25	Anid
GO:0005198	structural molecule activity	25	0.29	Calb
GO:0005198	structural molecule activity	14	0.20	Cneo
GO:0005198	structural molecule activity	7	0.32	Ecun
GO:0005198	structural molecule activity	20	0.23	Ncra
GO:0005198	structural molecule activity	19	0.51	Rozella
GO:0005198	structural molecule activity	22	0.31	Spom
GO:0005198	structural molecule activity	356	6.23	Scer
GO:0008092	cytoskeletal protein binding	41	0.35	Anid
GO:0008092	cytoskeletal protein binding	42	0.48	Calb
GO:0008092	cytoskeletal protein binding	31	0.45	Cneo
GO:0008092	cytoskeletal protein binding	8	0.37	Ecun
GO:0008092	cytoskeletal protein binding	45	0.53	Ncra
GO:0008092	cytoskeletal protein binding	26	0.70	Rozella
GO:0008092	cytoskeletal protein binding	76	1.06	Spom
GO:0008092	cytoskeletal protein binding	65	1.14	Scer
GO:0008134	transcription factor binding	6	0.05	Anid
GO:0008134	transcription factor binding	4	0.05	Calb
GO:0008134	transcription factor binding	3	0.04	Cneo
GO:0008134	transcription factor binding	2	0.09	Ecun
GO:0008134	transcription factor binding	6	0.07	Ncra
GO:0008134	transcription factor binding	3	0.08	Rozella
GO:0008134	transcription factor binding	5	0.07	Spom
GO:0008134	transcription factor binding	66	1.15	Scer
GO:0008135	translation factor activity, nucleic acid binding	93	0.80	Anid
GO:0008135	translation factor activity, nucleic acid binding	71	0.82	Calb
GO:0008135	translation factor activity, nucleic acid binding	80	1.16	Cneo
GO:0008135	translation factor activity, nucleic acid binding	41	1.90	Ecun
GO:0008135	translation factor activity, nucleic acid binding	63	0.74	Ncra
GO:0008135	translation factor activity, nucleic acid binding	24	0.65	Rozella
GO:0008135	translation factor activity, nucleic acid binding	68	0.95	Spom
GO:0008135	translation factor activity, nucleic acid binding	45	0.79	Scer
GO:0008168	methyltransferase activity	191	1.63	Anid
GO:0008168	methyltransferase activity	144	1.66	Calb
GO:0008168	methyltransferase activity	132	1.91	Cneo
GO:0008168	methyltransferase activity	40	1.86	Ecun
GO:0008168	methyltransferase activity	132	1.54	Ncra
GO:0008168	methyltransferase activity	60	1.62	Rozella
GO:0008168	methyltransferase activity	123	1.72	Spom
GO:0008168	methyltransferase activity	92	1.61	Scer
GO:0008233	peptidase activity	364	3.11	Anid
GO:0008233	peptidase activity	325	3.75	Calb
GO:0008233	peptidase activity	234	3.39	Cneo
GO:0008233	peptidase activity	86	3.99	Ecun
GO:0008233	peptidase activity	316	3.69	Ncra
GO:0008233	peptidase activity	131	3.53	Rozella
GO:0008233	peptidase activity	204	2.86	Spom
GO:0008233	peptidase activity	94	1.64	Scer
GO:0008289	lipid binding	74	0.63	Anid
GO:0008289	lipid binding	70	0.81	Calb
GO:0008289	lipid binding	53	0.77	Cneo
GO:0008289	lipid binding	3	0.14	Ecun
GO:0008289	lipid binding	73	0.85	Ncra
GO:0008289	lipid binding	43	1.16	Rozella
