GO_ID	GO_Term	Count	Percentage	Samples
GO:0000054	ribosomal subunit export from nucleus	7	0.11	Anid
GO:0000054	ribosomal subunit export from nucleus	0	0.00	Calb
GO:0000054	ribosomal subunit export from nucleus	1	0.03	Cneo
GO:0000054	ribosomal subunit export from nucleus	0	0.00	Ecun
GO:0000054	ribosomal subunit export from nucleus	6	0.11	Ncra
GO:0000054	ribosomal subunit export from nucleus	0	0.00	Rozella
GO:0000054	ribosomal subunit export from nucleus	27	0.18	Spom
GO:0000054	ribosomal subunit export from nucleus	43	0.34	Scer
GO:0000278	mitotic cell cycle	59	0.89	Anid
GO:0000278	mitotic cell cycle	81	1.08	Calb
GO:0000278	mitotic cell cycle	19	0.55	Cneo
GO:0000278	mitotic cell cycle	15	1.62	Ecun
GO:0000278	mitotic cell cycle	46	0.85	Ncra
GO:0000278	mitotic cell cycle	6	0.32	Rozella
GO:0000278	mitotic cell cycle	706	4.76	Spom
GO:0000278	mitotic cell cycle	300	2.38	Scer
GO:0000746	conjugation	7	0.11	Anid
GO:0000746	conjugation	44	0.59	Calb
GO:0000746	conjugation	2	0.06	Cneo
GO:0000746	conjugation	0	0.00	Ecun
GO:0000746	conjugation	9	0.17	Ncra
GO:0000746	conjugation	0	0.00	Rozella
GO:0000746	conjugation	204	1.37	Spom
GO:0000746	conjugation	108	0.86	Scer
GO:0000902	cell morphogenesis	2	0.03	Anid
GO:0000902	cell morphogenesis	21	0.28	Calb
GO:0000902	cell morphogenesis	2	0.06	Cneo
GO:0000902	cell morphogenesis	0	0.00	Ecun
GO:0000902	cell morphogenesis	3	0.06	Ncra
GO:0000902	cell morphogenesis	2	0.11	Rozella
GO:0000902	cell morphogenesis	160	1.08	Spom
GO:0000902	cell morphogenesis	29	0.23	Scer
GO:0000910	cytokinesis	8	0.12	Anid
GO:0000910	cytokinesis	37	0.50	Calb
GO:0000910	cytokinesis	1	0.03	Cneo
GO:0000910	cytokinesis	1	0.11	Ecun
GO:0000910	cytokinesis	9	0.17	Ncra
GO:0000910	cytokinesis	0	0.00	Rozella
GO:0000910	cytokinesis	222	1.50	Spom
GO:0000910	cytokinesis	113	0.90	Scer
GO:0001403	invasive growth in response to glucose limitation	0	0.00	Anid
